index,name,media_handle,media_user_id,origin_list
416,Steve Liesman,steveliesman,384445331,US-journo-Twitter
417,Jonathan Swan,jonathanvswan,327862439,US-journo-Twitter
418,Madison Gesiotto,madisongesiotto,2175836343,US-journo-Twitter
419,David Sirota,davidsirota,14855994,US-journo-Twitter
420,Bianna Golodryga,biannagolodryga,14135350,US-journo-Twitter
421,Jonathan Alter,jonathanalter,21844854,US-journo-Twitter
422,Jenna Lee,JennaLeeUSA,22517990,US-journo-Twitter
423,Lisa Boothe,LisaMarieBoothe,121574367,US-journo-Twitter
424,Catherine Rampell,crampell,14348157,US-journo-Twitter
425,Richard Lui MSNBC,RichardLui,11762572,US-journo-Twitter
426,Frank Rich,frankrichny,79366215,US-journo-Twitter
427,Andy Carvin,acarvin,778057,US-journo-Twitter
428,Rosie Gray,RosieGray,116341480,US-journo-Twitter
429,Thomas Erdbrink,ThomasErdbrink,253004443,US-journo-Twitter
430,Daniel W. Drezner,dandrezner,75797367,US-journo-Twitter
431,Max Blumenthal,MaxBlumenthal,53789862,US-journo-Twitter
432,Gregg Jarrett,GreggJarrett,21536398,US-journo-Twitter
433,Michael Barbaro,mikiebarb,282545479,US-journo-Twitter
434,Oliver Willis,owillis,3497941,US-journo-Twitter
435,Ira Madison III,ira,20926233,US-journo-Twitter
436,Jessica Chasmar,JessicaChasmar,89005882,US-journo-Twitter
